id_pessoa,nome,email,data_nasc
1,Amos Da Silva Oliveira,amos@amos.com,1986-05-20
2,Teste,teste1@teste1.com.br,2010-10-10
3,Alex Da Silva Sauro,silva@sauro.com,2024-02-01
4,Teste Aula,aula@teste.com.br,2000-05-10
6,Teste Da Silva,teste@teste,1986-05-10
7,Rui Barbosa,rui@gmail.com,1958-03-03
8,Rui Da Silva,silva@rui.com,2000-01-01
9,Amos,amos1@gmail.com,2001-01-10
10,Camila Oliveira,camila@camila.com,1984-05-12
11,Camila Da Silva,teste@camila.com,2001-10-01
12,Teste Teste,teste@com.br,2000-01-01
13,Teste 1,teste1@teste.com,2000-01-01
14,Bianca,bianca@bianca,2009-03-04
15,Bianca Oliveira,oliveira@teste.com,2000-01-01
16,Bianca Cruz,cruz@bianca.com,2009-03-04
17,Amós Da Silva Cruz,cruz@amos.com,1986-05-20
18,Zoroskv Da Silva,zoroskv@teste.com,2001-01-01
19,Ricardo Da Silva,ricardo@gmail.com,2023-04-10
